Exclusion report for column 2
==================================================
Symbol: AADEX, Reason: Symbol AADEX dropped price, min and avg volume.
Symbol: CIGAX, Reason: Symbol CIGAX dropped price, min and avg volume.
Symbol: CIGYX, Reason: Symbol CIGYX dropped price, min and avg volume.
Symbol: CIMDX, Reason: Symbol CIMDX dropped price, min and avg volume.
Symbol: CIRAX, Reason: Symbol CIRAX dropped price, min and avg volume.
Symbol: CLBAX, Reason: Symbol CLBAX dropped price, min and avg volume.
Symbol: CLSYX, Reason: Symbol CLSYX dropped price, min and avg volume.
Symbol: CMCAX, Reason: Symbol CMCAX dropped price, min and avg volume.
Symbol: CMGIX, Reason: Symbol CMGIX dropped price, min and avg volume.
Symbol: CMJAX, Reason: Symbol CMJAX dropped price, min and avg volume.
Symbol: CMJIX, Reason: Symbol CMJIX dropped price, min and avg volume.
Symbol: CNWAX, Reason: Symbol CNWAX dropped price, min and avg volume.
Symbol: COSIX, Reason: Symbol COSIX dropped price, min and avg volume.
Symbol: CPDIX, Reason: Symbol CPDIX dropped price, min and avg volume.
Symbol: CPTNX, Reason: Symbol CPTNX dropped price, min and avg volume.
Symbol: CPXAX, Reason: Symbol CPXAX dropped price, min and avg volume.
Symbol: CPXIX, Reason: Symbol CPXIX dropped price, min and avg volume.
Symbol: CRANX, Reason: Symbol CRANX dropped price, min and avg volume.
Symbol: CRATX, Reason: Symbol CRATX dropped price, min and avg volume.
Symbol: CRMAX, Reason: Symbol CRMAX dropped price, min and avg volume.
Symbol: CRMEX, Reason: Symbol CRMEX dropped price, min and avg volume.
Symbol: CRMMX, Reason: Symbol CRMMX dropped price, min and avg volume.
Symbol: CSIEX, Reason: Symbol CSIEX dropped price, min and avg volume.
Symbol: CSPAX, Reason: Symbol CSPAX dropped price, min and avg volume.
Symbol: CSRIX, Reason: Symbol CSRIX dropped price, min and avg volume.
Symbol: CSSPX, Reason: Symbol CSSPX dropped price, min and avg volume.
Symbol: CSUAX, Reason: Symbol CSUAX dropped price, min and avg volume.
Symbol: CSVAX, Reason: Symbol CSVAX dropped price, min and avg volume.
Symbol: CSVFX, Reason: Symbol CSVFX dropped price, min and avg volume.
Symbol: CSXRX, Reason: Symbol CSXRX dropped price, min and avg volume.
Symbol: CUTAX, Reason: Symbol CUTAX dropped price, min and avg volume.
Symbol: CVLEX, Reason: Symbol CVLEX dropped price, min and avg volume.
Symbol: CWMAX, Reason: Symbol CWMAX dropped price, min and avg volume.
Symbol: DALCX, Reason: Symbol DALCX dropped price, min and avg volume.
Symbol: DBMIX, Reason: Symbol DBMIX dropped price, min and avg volume.
Symbol: DCIBX, Reason: Symbol DCIBX dropped price, min and avg volume.
Symbol: DCMSX, Reason: Symbol DCMSX dropped price, min and avg volume.
Symbol: DDVAX, Reason: Symbol DDVAX dropped price, min and avg volume.
Symbol: DDVIX, Reason: Symbol DDVIX dropped price, min and avg volume.
Symbol: DEMSX, Reason: Symbol DEMSX dropped price, min and avg volume.
Symbol: DESIX, Reason: Symbol DESIX dropped price, min and avg volume.
Symbol: DFAPX, Reason: Symbol DFAPX dropped price, min and avg volume.
Symbol: DFCEX, Reason: Symbol DFCEX dropped price, min and avg volume.
Symbol: DFDPX, Reason: Symbol DFDPX dropped price, min and avg volume.
Symbol: DFELX, Reason: Symbol DFELX dropped price, min and avg volume.
Symbol: DFEMX, Reason: Symbol DFEMX dropped price, min and avg volume.
Symbol: DFEOX, Reason: Symbol DFEOX dropped price, min and avg volume.
Symbol: DFEVX, Reason: Symbol DFEVX dropped price, min and avg volume.
Symbol: DFFGX, Reason: Symbol DFFGX dropped price, min and avg volume.
Symbol: DFFVX, Reason: Symbol DFFVX dropped price, min and avg volume.
Symbol: DFGEX, Reason: Symbol DFGEX dropped price, min and avg volume.
Symbol: DFIEX, Reason: Symbol DFIEX dropped price, min and avg volume.
Symbol: DFIGX, Reason: Symbol DFIGX dropped price, min and avg volume.
Symbol: DFISX, Reason: Symbol DFISX dropped price, min and avg volume.
Symbol: DFIVX, Reason: Symbol DFIVX dropped price, min and avg volume.
Symbol: DFLVX, Reason: Symbol DFLVX dropped price, min and avg volume.
Symbol: DFQTX, Reason: Symbol DFQTX dropped price, min and avg volume.
Symbol: DFREX, Reason: Symbol DFREX dropped price, min and avg volume.
Symbol: DFSCX, Reason: Symbol DFSCX dropped price, min and avg volume.
Symbol: DFSIX, Reason: Symbol DFSIX dropped price, min and avg volume.
Symbol: DFSPX, Reason: Symbol DFSPX dropped price, min and avg volume.
Symbol: DFSTX, Reason: Symbol DFSTX dropped price, min and avg volume.
Symbol: DFSVX, Reason: Symbol DFSVX dropped price, min and avg volume.
Symbol: DFUSX, Reason: Symbol DFUSX dropped price, min and avg volume.
Symbol: DGAGX, Reason: Symbol DGAGX dropped price, min and avg volume.
Symbol: DGSIX, Reason: Symbol DGSIX dropped price, min and avg volume.
Symbol: DIHRX, Reason: Symbol DIHRX dropped price, min and avg volume.
Symbol: DILRX, Reason: Symbol DILRX dropped price, min and avg volume.
Symbol: DIPSX, Reason: Symbol DIPSX dropped price, min and avg volume.
Symbol: DISMX, Reason: Symbol DISMX dropped price, min and avg volume.
Symbol: DISVX, Reason: Symbol DISVX dropped price, min and avg volume.
Symbol: DITEX, Reason: Symbol DITEX dropped price, min and avg volume.
Symbol: DLEUX, Reason: Symbol DLEUX dropped price, min and avg volume.
Symbol: DREVX, Reason: Symbol DREVX dropped price, min and avg volume.
Symbol: DRIHX, Reason: Symbol DRIHX dropped price, min and avg volume.
Symbol: DRIIX, Reason: Symbol DRIIX dropped price, min and avg volume.
Symbol: DRIJX, Reason: Symbol DRIJX dropped price, min and avg volume.
Symbol: DRILX, Reason: Symbol DRILX dropped price, min and avg volume.
Symbol: DSCGX, Reason: Symbol DSCGX dropped price, min and avg volume.
Symbol: DSCLX, Reason: Symbol DSCLX dropped price, min and avg volume.
Symbol: DSEEX, Reason: Symbol DSEEX dropped price, min and avg volume.
Symbol: DSENX, Reason: Symbol DSENX dropped price, min and avg volume.
Symbol: DSHGX, Reason: Symbol DSHGX dropped price, min and avg volume.
Symbol: DTLGX, Reason: Symbol DTLGX dropped price, min and avg volume.
Symbol: DTLVX, Reason: Symbol DTLVX dropped price, min and avg volume.
Symbol: DTSGX, Reason: Symbol DTSGX dropped price, min and avg volume.
Symbol: DTSVX, Reason: Symbol DTSVX dropped price, min and avg volume.
Symbol: DUMSX, Reason: Symbol DUMSX dropped price, min and avg volume.
Symbol: DURPX, Reason: Symbol DURPX dropped price, min and avg volume.
Symbol: DUSLX, Reason: Symbol DUSLX dropped price, min and avg volume.
Symbol: DUSQX, Reason: Symbol DUSQX dropped price, min and avg volume.
Symbol: EAALX, Reason: Symbol EAALX dropped price, min and avg volume.
Symbol: EADOX, Reason: Symbol EADOX dropped price, min and avg volume.
Symbol: ECEOX, Reason: Symbol ECEOX dropped price, min and avg volume.
Symbol: EFCNX, Reason: Symbol EFCNX dropped price, min and avg volume.
Symbol: EGIIX, Reason: Symbol EGIIX dropped price, min and avg volume.
Symbol: EGWAX, Reason: Symbol EGWAX dropped price, min and avg volume.
Symbol: EIBLX, Reason: Symbol EIBLX dropped price, min and avg volume.
Symbol: EIFHX, Reason: Symbol EIFHX dropped price, min and avg volume.
Symbol: EISMX, Reason: Symbol EISMX dropped price, min and avg volume.
Symbol: EPIVX, Reason: Symbol EPIVX dropped price, min and avg volume.
Symbol: EPLPX, Reason: Symbol EPLPX dropped price, min and avg volume.
Symbol: EQPGX, Reason: Symbol EQPGX dropped price, min and avg volume.
Symbol: ERBAX, Reason: Symbol ERBAX dropped price, min and avg volume.
Symbol: ESIIX, Reason: Symbol ESIIX dropped price, min and avg volume.
Symbol: ETADX, Reason: Symbol ETADX dropped price, min and avg volume.
Symbol: ETAGX, Reason: Symbol ETAGX dropped price, min and avg volume.
Symbol: ETAHX, Reason: Symbol ETAHX dropped price, min and avg volume.
Symbol: ETAZX, Reason: Symbol ETAZX dropped price, min and avg volume.
Symbol: ETCTX, Reason: Symbol ETCTX dropped price, min and avg volume.
Symbol: ETGAX, Reason: Symbol ETGAX dropped price, min and avg volume.
Symbol: ETGIX, Reason: Symbol ETGIX dropped price, min and avg volume.
Symbol: ETIHX, Reason: Symbol ETIHX dropped price, min and avg volume.
Symbol: ETMAX, Reason: Symbol ETMAX dropped price, min and avg volume.
Symbol: ETMDX, Reason: Symbol ETMDX dropped price, min and avg volume.
Symbol: ETMOX, Reason: Symbol ETMOX dropped price, min and avg volume.
Symbol: ETNCX, Reason: Symbol ETNCX dropped price, min and avg volume.
Symbol: ETNHX, Reason: Symbol ETNHX dropped price, min and avg volume.
Symbol: ETNRX, Reason: Symbol ETNRX dropped price, min and avg volume.
Symbol: ETORX, Reason: Symbol ETORX dropped price, min and avg volume.
Symbol: EVAIX, Reason: Symbol EVAIX dropped price, min and avg volume.
Symbol: EVCGX, Reason: Symbol EVCGX dropped price, min and avg volume.
Symbol: EVMBX, Reason: Symbol EVMBX dropped price, min and avg volume.
Symbol: EXBAX, Reason: Symbol EXBAX dropped price, min and avg volume.
Symbol: EXCPX, Reason: Symbol EXCPX dropped price, min and avg volume.
Symbol: EXCRX, Reason: Symbol EXCRX dropped price, min and avg volume.
Symbol: EXDAX, Reason: Symbol EXDAX dropped price, min and avg volume.
Symbol: EXEYX, Reason: Symbol EXEYX dropped price, min and avg volume.
Symbol: EXHAX, Reason: Symbol EXHAX dropped price, min and avg volume.
Symbol: EXMAX, Reason: Symbol EXMAX dropped price, min and avg volume.
Symbol: EXNAX, Reason: Symbol EXNAX dropped price, min and avg volume.
Symbol: FAATX, Reason: Symbol FAATX dropped price, min and avg volume.
Symbol: FACEX, Reason: Symbol FACEX dropped price, min and avg volume.
Symbol: FAETX, Reason: Symbol FAETX dropped price, min and avg volume.
Symbol: FAFWX, Reason: Symbol FAFWX dropped price, min and avg volume.
Symbol: FAITX, Reason: Symbol FAITX dropped price, min and avg volume.
Symbol: FAJTX, Reason: Symbol FAJTX dropped price, min and avg volume.
Symbol: FAKTX, Reason: Symbol FAKTX dropped price, min and avg volume.
Symbol: FAOTX, Reason: Symbol FAOTX dropped price, min and avg volume.
Symbol: FAPTX, Reason: Symbol FAPTX dropped price, min and avg volume.
Symbol: FAQTX, Reason: Symbol FAQTX dropped price, min and avg volume.
Symbol: FASIX, Reason: Symbol FASIX dropped price, min and avg volume.
Symbol: FASMX, Reason: Symbol FASMX dropped price, min and avg volume.
Symbol: FATIX, Reason: Symbol FATIX dropped price, min and avg volume.
Symbol: FATTX, Reason: Symbol FATTX dropped price, min and avg volume.
Symbol: FAUTX, Reason: Symbol FAUTX dropped price, min and avg volume.
Symbol: FBCVX, Reason: Symbol FBCVX dropped price, min and avg volume.
Symbol: FBFWX, Reason: Symbol FBFWX dropped price, min and avg volume.
Symbol: FBIOX, Reason: Symbol FBIOX dropped price, min and avg volume.
Symbol: FBLAX, Reason: Symbol FBLAX dropped price, min and avg volume.
Symbol: FBMPX, Reason: Symbol FBMPX dropped price, min and avg volume.
Symbol: FBSOX, Reason: Symbol FBSOX dropped price, min and avg volume.
Symbol: FCFWX, Reason: Symbol FCFWX dropped price, min and avg volume.
Symbol: FCNKX, Reason: Symbol FCNKX dropped price, min and avg volume.
Symbol: FCNVX, Reason: Symbol FCNVX dropped price, min and avg volume.
Symbol: FCNYX, Reason: Symbol FCNYX dropped price, min and avg volume.
Symbol: FCTDX, Reason: Symbol FCTDX dropped price, min and avg volume.
Symbol: FCTKX, Reason: Symbol FCTKX dropped price, min and avg volume.
Symbol: FCYIX, Reason: Symbol FCYIX dropped price, min and avg volume.
Symbol: FDCAX, Reason: Symbol FDCAX dropped price, min and avg volume.
Symbol: FDCGX, Reason: Symbol FDCGX dropped price, min and avg volume.
Symbol: FDCPX, Reason: Symbol FDCPX dropped price, min and avg volume.
Symbol: FDFAX, Reason: Symbol FDFAX dropped price, min and avg volume.
Symbol: FDIGX, Reason: Symbol FDIGX dropped price, min and avg volume.
Symbol: FDLSX, Reason: Symbol FDLSX dropped price, min and avg volume.
Symbol: FEBIX, Reason: Symbol FEBIX dropped price, min and avg volume.
Symbol: FEDDX, Reason: Symbol FEDDX dropped price, min and avg volume.
Symbol: FEMACX, Reason: Symbol FEMACX dropped price, min and avg volume.
Symbol: FEQTX, Reason: Symbol FEQTX dropped price, min and avg volume.
Symbol: FERGX, Reason: Symbol FERGX dropped price, min and avg volume.
Symbol: FFANX, Reason: Symbol FFANX dropped price, min and avg volume.
Symbol: FFFFX, Reason: Symbol FFFFX dropped price, min and avg volume.
Symbol: FFICX, Reason: Symbol FFICX dropped price, min and avg volume.
Symbol: FFOLX, Reason: Symbol FFOLX dropped price, min and avg volume.
Symbol: FFRHX, Reason: Symbol FFRHX dropped price, min and avg volume.
Symbol: FFVFX, Reason: Symbol FFVFX dropped price, min and avg volume.
Symbol: FGCKX, Reason: Symbol FGCKX dropped price, min and avg volume.
Symbol: FGDIX, Reason: Symbol FGDIX dropped price, min and avg volume.
Symbol: FGILX, Reason: Symbol FGILX dropped price, min and avg volume.
Symbol: FGOMX, Reason: Symbol FGOMX dropped price, min and avg volume.
Symbol: FGRIX, Reason: Symbol FGRIX dropped price, min and avg volume.
Symbol: FGTKX, Reason: Symbol FGTKX dropped price, min and avg volume.
Symbol: FHKCX, Reason: Symbol FHKCX dropped price, min and avg volume.
Symbol: FIDSX, Reason: Symbol FIDSX dropped price, min and avg volume.
Symbol: FIFGX, Reason: Symbol FIFGX dropped price, min and avg volume.
Symbol: FIGRX, Reason: Symbol FIGRX dropped price, min and avg volume.
Symbol: FIQZX, Reason: Symbol FIQZX dropped price, min and avg volume.
Symbol: FIWGX, Reason: Symbol FIWGX dropped price, min and avg volume.
Symbol: FJTKX, Reason: Symbol FJTKX dropped price, min and avg volume.
Symbol: FKASX, Reason: Symbol FKASX dropped price, min and avg volume.
Symbol: FKDNX, Reason: Symbol FKDNX dropped price, min and avg volume.
Symbol: FLBDX, Reason: Symbol FLBDX dropped price, min and avg volume.
Symbol: FLDFX, Reason: Symbol FLDFX dropped price, min and avg volume.
Symbol: FLFGX, Reason: Symbol FLFGX dropped price, min and avg volume.
Symbol: FLMFX, Reason: Symbol FLMFX dropped price, min and avg volume.
Symbol: FMAGX, Reason: Symbol FMAGX dropped price, min and avg volume.
Symbol: FMFEX, Reason: Symbol FMFEX dropped price, min and avg volume.
Symbol: FMFTX, Reason: Symbol FMFTX dropped price, min and avg volume.
Symbol: FNITX, Reason: Symbol FNITX dropped price, min and avg volume.
Symbol: FNMTX, Reason: Symbol FNMTX dropped price, min and avg volume.
Symbol: FNSFX, Reason: Symbol FNSFX dropped price, min and avg volume.
Symbol: FOBAX, Reason: Symbol FOBAX dropped price, min and avg volume.
Symbol: FOCKX, Reason: Symbol FOCKX dropped price, min and avg volume.
Symbol: FOCPX, Reason: Symbol FOCPX dropped price, min and avg volume.
Symbol: FOHTX, Reason: Symbol FOHTX dropped price, min and avg volume.
Symbol: FOSCX, Reason: Symbol FOSCX dropped price, min and avg volume.
Symbol: FOSIX, Reason: Symbol FOSIX dropped price, min and avg volume.
Symbol: FPHAX, Reason: Symbol FPHAX dropped price, min and avg volume.
Symbol: FRESX, Reason: Symbol FRESX dropped price, min and avg volume.
Symbol: FRFZX, Reason: Symbol FRFZX dropped price, min and avg volume.
Symbol: FRIFX, Reason: Symbol FRIFX dropped price, min and avg volume.
Symbol: FRVLX, Reason: Symbol FRVLX dropped price, min and avg volume.
Symbol: FSAGX, Reason: Symbol FSAGX dropped price, min and avg volume.
Symbol: FSANX, Reason: Symbol FSANX dropped price, min and avg volume.
Symbol: FSAVX, Reason: Symbol FSAVX dropped price, min and avg volume.
Symbol: FSCHX, Reason: Symbol FSCHX dropped price, min and avg volume.
Symbol: FSCPX, Reason: Symbol FSCPX dropped price, min and avg volume.
Symbol: FSCSX, Reason: Symbol FSCSX dropped price, min and avg volume.
Symbol: FSDAX, Reason: Symbol FSDAX dropped price, min and avg volume.
Symbol: FSDPX, Reason: Symbol FSDPX dropped price, min and avg volume.
Symbol: FSELX, Reason: Symbol FSELX dropped price, min and avg volume.
Symbol: FSENX, Reason: Symbol FSENX dropped price, min and avg volume.
Symbol: FSHCX, Reason: Symbol FSHCX dropped price, min and avg volume.
Symbol: FSHGX, Reason: Symbol FSHGX dropped price, min and avg volume.
Symbol: FSHOX, Reason: Symbol FSHOX dropped price, min and avg volume.
Symbol: FSKLX, Reason: Symbol FSKLX dropped price, min and avg volume.
Symbol: FSLBX, Reason: Symbol FSLBX dropped price, min and avg volume.
Symbol: FSLEX, Reason: Symbol FSLEX dropped price, min and avg volume.
Symbol: FSMEX, Reason: Symbol FSMEX dropped price, min and avg volume.
Symbol: FSMJX, Reason: Symbol FSMJX dropped price, min and avg volume.
Symbol: FSMNX, Reason: Symbol FSMNX dropped price, min and avg volume.
Symbol: FSNVX, Reason: Symbol FSNVX dropped price, min and avg volume.
Symbol: FSPCX, Reason: Symbol FSPCX dropped price, min and avg volume.
Symbol: FSPHX, Reason: Symbol FSPHX dropped price, min and avg volume.
Symbol: FSPTX, Reason: Symbol FSPTX dropped price, min and avg volume.
Symbol: FSRBX, Reason: Symbol FSRBX dropped price, min and avg volume.
Symbol: FSRFX, Reason: Symbol FSRFX dropped price, min and avg volume.
Symbol: FSRIX, Reason: Symbol FSRIX dropped price, min and avg volume.
Symbol: FSRPX, Reason: Symbol FSRPX dropped price, min and avg volume.
Symbol: FSTCX, Reason: Symbol FSTCX dropped price, min and avg volume.
Symbol: FSTTX, Reason: Symbol FSTTX dropped price, min and avg volume.
Symbol: FSUTX, Reason: Symbol FSUTX dropped price, min and avg volume.
Symbol: FSVLX, Reason: Symbol FSVLX dropped price, min and avg volume.
Symbol: FTANX, Reason: Symbol FTANX dropped price, min and avg volume.
Symbol: FTBFX, Reason: Symbol FTBFX dropped price, min and avg volume.
Symbol: FTFPX, Reason: Symbol FTFPX dropped price, min and avg volume.
Symbol: FTGWX, Reason: Symbol FTGWX dropped price, min and avg volume.
Symbol: FTUAX, Reason: Symbol FTUAX dropped price, min and avg volume.
Symbol: FTUIX, Reason: Symbol FTUIX dropped price, min and avg volume.
Symbol: FUNFX, Reason: Symbol FUNFX dropped price, min and avg volume.
Symbol: FVATX, Reason: Symbol FVATX dropped price, min and avg volume.
Symbol: FVDFX, Reason: Symbol FVDFX dropped price, min and avg volume.
